churn_rate,node_count,duration,faulty_rate,object_count,chunk_n,chunk_k,fragment_n,fragment_k,cache_sec,targeted_count,data_lost,targeted,repair,alive_count
4,100000,315360000,0.56,100,100,100,3,1,4294967295,0,100,0,88.3600000000083,0
4,100000,315360000,0.59999996,100,100,100,3,1,4294967295,0,100,0,70.62999999999923,0
4,100000,315360000,0.59999996,100,100,100,3,1,4294967295,0,100,0,68.08999999999793,0
4,100000,315360000,0.59999996,100,100,100,3,1,4294967295,0,100,0,69.47999999999864,0
4,100000,315360000,0.59999996,100,100,100,3,1,4294967295,0,100,0,70.3699999999991,0
4,100000,315360000,0.56,100,100,100,3,1,4294967295,0,100,0,90.19000000000923,0
4,100000,315360000,0.59999996,100,100,100,3,1,4294967295,0,100,0,69.44999999999862,0
4,100000,315360000,0.56,100,100,100,3,1,4294967295,0,100,0,88.13000000000818,0
4,100000,315360000,0.56,100,100,100,3,1,4294967295,0,100,0,87.14000000000767,0
4,100000,315360000,0.56,100,100,100,3,1,4294967295,0,100,0,90.06000000000917,0
4,100000,315360000,0.59999996,100,100,100,3,1,4294967295,0,100,0,69.46999999999863,0
4,100000,315360000,0.56,100,100,100,3,1,4294967295,0,100,0,87.55000000000788,0
4,100000,315360000,0.56,100,100,100,3,1,4294967295,0,100,0,89.9300000000091,0
4,100000,315360000,0.48,100,100,100,3,1,4294967295,0,100,0,139.5000000000181,0
4,100000,315360000,0.52,100,100,100,3,1,4294967295,0,100,0,112.82000000002081,0
4,100000,315360000,0.52,100,10,8,100,32,0,0,100,0,100034.5,0
4,100000,315360000,0.56,100,100,100,3,1,4294967295,0,100,0,91.17000000000974,0
4,100000,315360000,0.56,100,100,100,3,1,4294967295,0,100,0,90.74000000000952,0
4,100000,315360000,0.48,100,100,100,3,1,4294967295,0,100,0,140.700000000017,0
4,100000,315360000,0.56,100,100,100,3,1,4294967295,0,100,0,88.29000000000826,0
4,100000,315360000,0.56,100,10,8,100,32,0,0,100,0,36576.375,0
4,100000,315360000,0.48,100,100,100,3,1,4294967295,0,100,0,134.80000000002238,0
4,100000,315360000,0.48,100,100,100,3,1,4294967295,0,100,0,140.80000000001692,0
4,100000,315360000,0.48,100,100,100,3,1,4294967295,0,100,0,138.57000000001895,0
4,100000,315360000,0.48,100,100,100,3,1,4294967295,0,100,0,138.3000000000192,0
4,100000,315360000,0.32,100,100,100,3,1,4294967295,0,100,0,337.4299999998381,0
4,100000,315360000,0.48,100,100,100,3,1,4294967295,0,100,0,141.51000000001628,0
4,100000,315360000,0.48,100,100,100,3,1,4294967295,0,100,0,137.84000000001961,0
4,100000,315360000,0.48,100,100,100,3,1,4294967295,0,100,0,139.600000000018,0
4,100000,315360000,0.35999998,100,100,100,3,1,4294967295,0,100,0,271.4599999998981,0
4,100000,315360000,0.28,100,100,100,3,1,4294967295,0,100,0,418.3799999997645,0
4,100000,315360000,0.35999998,100,100,100,3,1,4294967295,0,100,0,267.9799999999013,0
4,100000,315360000,0.32,100,100,100,3,1,4294967295,0,100,0,332.44999999984265,0
4,100000,315360000,0.35999998,100,100,100,3,1,4294967295,0,100,0,270.3799999998991,0
4,100000,315360000,0.24,100,100,100,3,1,4294967295,0,100,0,537.0599999996566,0
4,100000,315360000,0.32,100,100,100,3,1,4294967295,0,100,0,337.4599999998381,0
4,100000,315360000,0.28,100,100,100,3,1,4294967295,0,100,0,414.92999999976763,0
4,100000,315360000,0.39999998,100,100,100,3,1,4294967295,0,100,0,212.7399999999515,0
4,100000,315360000,0.32,100,100,100,3,1,4294967295,0,100,0,331.98999999984306,0
4,100000,315360000,0.28,100,100,100,3,1,4294967295,0,100,0,412.83999999976953,0
4,100000,315360000,0.28,100,100,100,3,1,4294967295,0,100,0,415.23999999976735,0
4,100000,315360000,0.48,100,10,8,100,32,0,0,100,0,492066.125,0
4,100000,315360000,0.28,100,100,100,3,1,4294967295,0,100,0,417.0499999997657,0
4,100000,315360000,0.28,100,100,100,3,1,4294967295,0,100,0,412.37999999976995,0
4,100000,315360000,0.28,100,100,100,3,1,4294967295,0,100,0,420.06999999976296,0
4,100000,315360000,0.28,100,100,100,3,1,4294967295,0,100,0,418.97999999976395,0
4,100000,315360000,0.24,100,100,100,3,1,4294967295,0,100,0,530.4799999996626,0
4,100000,315360000,0.12,100,100,100,3,1,4294967295,0,100,0,1321.5299999989431,0
4,100000,315360000,0.19999999,100,100,100,3,1,4294967295,0,100,0,707.9399999995012,0
4,100000,315360000,0.16,100,100,100,3,1,4294967295,0,100,0,929.3399999992998,0
4,100000,315360000,0.12,100,100,100,3,1,4294967295,0,100,0,1347.2399999989198,0
4,100000,315360000,0.16,100,100,100,3,1,4294967295,0,100,0,957.0399999992746,0
4,100000,315360000,0.08,100,100,100,3,1,4294967295,0,100,0,2204.060000001689,0
4,100000,315360000,0.12,100,100,100,3,1,4294967295,0,100,0,1369.2799999988997,0
4,100000,315360000,0.16,100,100,100,3,1,4294967295,0,100,0,947.2999999992835,0
4,100000,315360000,0.08,100,100,100,3,1,4294967295,0,100,0,2213.2600000018897,0
4,100000,315360000,0.16,100,100,100,3,1,4294967295,0,100,0,955.589999999276,0
4,100000,315360000,0,100,100,100,3,1,4294967295,0,0,0,12003.280000215584,3
4,100000,315360000,0.16,100,100,100,3,1,4294967295,0,100,0,957.759999999274,0
4,100000,315360000,0.12,100,100,100,3,1,4294967295,0,100,0,1337.7199999989284,0
4,100000,315360000,0,100,100,100,3,1,4294967295,0,0,0,11986.920000215227,3
4,100000,315360000,0.04,100,100,100,3,1,4294967295,0,100,0,4448.660000050683,0
4,100000,315360000,0.12,100,100,100,3,1,4294967295,0,100,0,1390.99999999888,0
4,100000,315360000,0.08,100,100,100,3,1,4294967295,0,100,0,2236.1700000023898,0
4,100000,315360000,0.12,100,100,100,3,1,4294967295,0,100,0,1395.5099999988759,0
4,100000,315360000,0.12,100,100,100,3,1,4294967295,0,100,0,1368.9599999989,0
4,100000,315360000,0.12,100,100,100,3,1,4294967295,0,100,0,1344.0099999989227,0
4,100000,315360000,0,100,100,100,3,1,4294967295,0,0,0,11992.790000215355,3
4,100000,315360000,0.08,100,100,100,3,1,4294967295,0,100,0,2210.8700000018375,0
4,100000,315360000,0.08,100,100,100,3,1,4294967295,0,100,0,2160.1100000007295,0
4,100000,315360000,0.08,100,100,100,3,1,4294967295,0,100,0,2161.6600000007634,0
4,100000,315360000,0.08,100,100,100,3,1,4294967295,0,100,0,2157.4000000006704,0
4,100000,315360000,0.08,100,100,100,3,1,4294967295,0,100,0,2209.1400000017998,0
4,100000,315360000,0,100,100,100,3,1,4294967295,0,0,0,11989.270000215278,3
4,100000,315360000,0,100,100,100,3,1,4294967295,0,0,0,12007.600000215678,3
4,100000,315360000,0,100,100,100,3,1,4294967295,0,0,0,12011.310000215759,3
4,100000,315360000,0.59999996,100,100,100,3,1,4294967295,0,100,0,69.0199999999984,0
4,100000,315360000,0.59999996,100,100,100,3,1,4294967295,0,100,0,70.7599999999993,0
4,100000,315360000,0.59999996,100,100,100,3,1,4294967295,0,100,0,69.85999999999883,0
4,100000,315360000,0.59999996,100,100,100,3,1,4294967295,0,100,0,68.39999999999809,0
4,100000,315360000,0,100,100,100,3,1,4294967295,0,0,0,12021.220000215975,3
4,100000,315360000,0.59999996,100,10,8,120,32,0,0,100,0,87134.5,0
4,100000,315360000,0.52,100,100,100,3,1,4294967295,0,100,0,115.82000000002235,0
4,100000,315360000,0.52,100,10,8,100,32,0,0,100,0,120528,0
4,100000,315360000,0.32,100,10,8,100,32,0,0,0,0,1471655.375,63
4,100000,315360000,0.59999996,100,10,8,100,32,0,0,100,0,15175.25,0
4,100000,315360000,0.56,100,10,8,100,32,0,0,100,0,31779.875,0
4,100000,315360000,0.56,100,10,8,100,32,0,0,100,0,33658.375,0
4,100000,315360000,0.35999998,100,10,8,100,32,0,0,0,0,1563307.375,59
4,100000,315360000,0,100,10,8,80,32,0,0,0,0,803168.125,80
4,100000,315360000,0.48,100,100,100,3,1,4294967295,0,100,0,138.6300000000189,0
4,100000,315360000,0.56,100,10,8,120,32,0,0,100,0,442956.75,0
4,100000,315360000,0.39999998,100,10,8,100,32,0,0,0,0,1660004.875,57
4,100000,315360000,0.48,100,10,8,120,32,0,0,0,0,2278788.875,58
4,100000,315360000,0.16,100,10,8,100,32,0,0,0,0,1192832.25,77
4,100000,315360000,0,100,10,8,120,32,0,0,0,0,1204343.875,120
4,100000,315360000,0.08,100,10,8,100,32,0,0,0,0,1089993.875,96
4,100000,315360000,0.32,100,10,8,100,32,0,0,0,0,1471629.25,65
4,100000,315360000,0,100,10,8,100,32,0,0,0,0,1003788.75,100
4,100000,315360000,0.52,100,10,8,100,32,0,0,100,0,108206.75,0
4,100000,315360000,0.56,100,10,8,100,32,0,0,100,0,34252.375,0
4,100000,315360000,0.44,100,100,100,3,1,4294967295,0,100,0,178.3199999999828,0
4,100000,315360000,0.08,100,10,8,120,32,0,0,0,0,1307637.375,111
4,100000,315360000,0.04,100,10,8,100,32,0,0,0,0,1045093.375,96
4,100000,315360000,0.32,100,10,8,120,32,0,0,0,0,1765623.375,71
4,100000,315360000,0.32,100,100,100,3,1,4294967295,0,100,0,337.95999999983763,0
4,100000,315360000,0.39999998,100,100,100,3,1,4294967295,0,100,0,216.32999999994823,0
4,100000,315360000,0.12,100,10,8,100,32,0,0,0,0,1139098,76
4,100000,315360000,0.24,100,100,100,3,1,4294967295,0,100,0,539.2399999996546,0
4,100000,315360000,0.16,100,10,8,120,32,0,0,0,0,1431062.875,98
4,100000,315360000,0.28,100,100,100,3,1,4294967295,0,100,0,424.48999999975894,0
4,100000,315360000,0.19999999,100,100,100,3,1,4294967295,0,100,0,699.5999999995088,0
4,100000,315360000,0.32,100,100,100,3,1,4294967295,0,100,0,336.2699999998392,0
4,100000,315360000,0.39999998,100,10,8,120,32,0,0,0,0,2000093.625,68
4,100000,315360000,0.39999998,100,100,100,3,1,4294967295,0,100,0,209.44999999995449,0
4,100000,315360000,0.08,100,10,8,100,32,0,0,0,0,1089923.875,91
4,100000,315360000,0.35999998,100,100,100,3,1,4294967295,0,100,0,267.219999999902,0
4,100000,315360000,0.24,100,100,100,3,1,4294967295,0,100,0,522.8799999996695,0
4,100000,315360000,0.35999998,100,100,100,3,1,4294967295,0,100,0,270.65999999989884,0
4,100000,315360000,0,100,10,8,100,32,0,0,0,0,1003785.875,100
4,100000,315360000,0.39999998,100,100,100,3,1,4294967295,0,100,0,214.8199999999496,0
4,100000,315360000,0.59999996,100,10,8,100,32,0,0,100,0,13299.75,0
4,100000,315360000,0.56,100,10,8,100,32,0,0,100,0,37864.875,0
4,100000,315360000,0.35999998,100,100,100,3,1,4294967295,0,100,0,269.3799999999,0
4,100000,315360000,0.04,100,10,8,120,32,0,0,0,0,1253774,113
4,100000,315360000,0.56,100,10,8,100,32,0,0,100,0,35546,0
4,100000,315360000,0.08,100,100,100,3,1,4294967295,0,100,0,2184.3000000012576,0
4,100000,315360000,0.28,100,100,100,3,1,4294967295,0,100,0,422.8499999997604,0
4,100000,315360000,0.32,100,10,8,100,32,0,0,0,0,1471648,54
