churn_rate,node_count,duration,faulty_rate,object_count,chunk_n,chunk_k,fragment_n,fragment_k,cache_sec,targeted_count,data_lost,targeted,repair,alive_count
4,100000,31536000,0,1,10,8,80,32,43200,0,0,0,315.00390625,80
4,100000,31536000,0,1,10,8,80,32,43200,0,0,0,308.28515625,80
4,100000,31536000,0,1,10,8,80,32,43200,0,0,0,309.8203125,80
4,100000,31536000,0,1,10,8,80,32,43200,0,0,0,312.640625,80
4,100000,31536000,0,10,10,8,80,32,0,0,0,0,5301.875,80
4,100000,31536000,0,10,10,8,80,32,86400,0,0,0,1837.45703125,80
4,100000,31536000,0,10,10,8,80,32,21600,0,0,0,4053.94921875,80
4,100000,31536000,0,10,10,8,80,32,43200,0,0,0,3116.5234375,80
4,100000,31536000,0,1,10,8,80,32,0,0,0,0,529.875,80
4,100000,31536000,0,10,10,8,80,32,43200,0,0,0,3123.41015625,80
4,100000,31536000,0,1,10,8,80,32,0,0,0,0,527.625,80
4,100000,31536000,0,1,10,8,80,32,86400,0,0,0,189.62109375,80
4,100000,31536000,0,1,10,8,80,32,43200,0,0,0,313.66796875,80
4,100000,31536000,0,1,10,8,80,32,43200,0,0,0,308.73828125,80
4,100000,31536000,0,10,10,8,80,32,86400,0,0,0,1829.08203125,80
4,100000,31536000,0,10,10,8,80,32,0,0,0,0,5289,80
4,100000,31536000,0,10,100,100,3,1,4294967295,0,0,0,120.69000000002484,3
4,100000,31536000,0,10,10,8,80,32,86400,0,0,0,1840.4765625,80
4,100000,31536000,0,10,10,8,80,32,86400,0,0,0,1839.57421875,80
4,100000,31536000,0,1,10,8,80,32,0,0,0,0,528.875,80
4,100000,31536000,0,10,10,8,80,32,0,0,0,0,5259.625,80
4,100000,31536000,0,10,100,100,3,1,4294967295,0,0,0,119.27000000002411,3
4,100000,31536000,0,100,100,100,3,1,4294967295,0,0,0,1199.1599999990544,3
4,100000,31536000,0,10,10,8,80,32,0,0,0,0,5302,80
4,100000,31536000,0,10,10,8,80,32,86400,0,0,0,1842.05078125,80
4,100000,31536000,0,10,10,8,80,32,0,0,0,0,5284.625,80
4,100000,31536000,0,100,100,100,3,1,4294967295,0,0,0,1202.5199999990514,3
4,100000,31536000,0,10,100,100,3,1,4294967295,0,0,0,117.82000000002337,3
4,100000,31536000,0,10,10,8,80,32,86400,0,0,0,1837.50390625,80
4,100000,31536000,0,1,10,8,80,32,43200,0,0,0,314.59375,80
4,100000,31536000,0,1,10,8,80,32,43200,0,0,0,313.09765625,80
4,100000,31536000,0,10,10,8,80,32,0,0,0,0,5308.75,80
4,100000,31536000,0,100,10,8,80,32,21600,0,0,0,40598.10546875,80
4,100000,31536000,0,10,10,8,80,32,86400,0,0,0,1833.08984375,80
4,100000,31536000,0,1,100,100,3,1,4294967295,0,0,0,12.269999999999783,3
4,100000,31536000,0,100,10,8,80,32,0,0,0,0,52868.25,80
4,100000,31536000,0,100,10,8,80,32,21600,0,0,0,40580.921875,80
4,100000,31536000,0,10,10,8,80,32,43200,0,0,0,3127.5234375,80
4,100000,31536000,0,100,10,8,80,32,21600,0,0,0,40589.13671875,80
4,100000,31536000,0,100,100,100,3,1,4294967295,0,0,0,1199.8399999990538,3
4,100000,31536000,0,100,10,8,80,32,21600,0,0,0,40547.99609375,80
4,100000,31536000,0,100,10,8,80,32,43200,0,0,0,31123.5859375,80
4,100000,31536000,0,100,10,8,80,32,21600,0,0,0,40546.4296875,80
4,100000,31536000,0,100,10,8,80,32,0,0,0,0,52829.25,80
4,100000,31536000,0,1,100,100,3,1,4294967295,0,0,0,12.88999999999977,3
4,100000,31536000,0,100,10,8,80,32,43200,0,0,0,31135.90234375,80
4,100000,31536000,0,1,10,8,80,32,0,0,0,0,526.5,80
4,100000,31536000,0,100,10,8,80,32,21600,0,0,0,40600.41015625,80
4,100000,31536000,0,100,10,8,80,32,86400,0,0,0,18442.671875,80
4,100000,31536000,0,100,10,8,80,32,21600,0,0,0,40591.08203125,80
4,100000,31536000,0,100,10,8,80,32,86400,0,0,0,18385.8984375,80
4,100000,31536000,0,100,10,8,80,32,0,0,0,0,52787.875,80
4,100000,31536000,0,100,10,8,80,32,43200,0,0,0,31125.234375,80
4,100000,31536000,0,100,10,8,80,32,86400,0,0,0,18391.15625,80
4,100000,31536000,0,100,10,8,80,32,0,0,0,0,52816,80
4,100000,31536000,0,100,10,8,80,32,86400,0,0,0,18393.7109375,80
4,100000,31536000,0,100,10,8,80,32,0,0,0,0,52822.5,80
4,100000,31536000,0,100,10,8,80,32,21600,0,0,0,40619.28125,80
4,100000,31536000,0,1000,100,100,3,1,4294967295,0,0,0,11985.300000215191,3
4,100000,31536000,0,10,10,8,80,32,43200,0,0,0,3118.44921875,80
4,100000,31536000,0,10,10,8,80,32,172800,0,0,0,643.578125,80
4,100000,31536000,0,1,10,8,80,32,43200,0,0,0,308.59765625,80
4,100000,31536000,0,1,10,8,80,32,86400,0,0,0,184.92578125,80
4,100000,31536000,0,1000,100,100,3,1,4294967295,0,0,0,11991.970000215337,3
4,100000,31536000,0,10,10,8,80,32,0,0,0,0,5286.125,80
4,100000,31536000,0,1000,100,100,3,1,4294967295,0,0,0,11971.51000021489,3
4,100000,31536000,0,10,10,8,80,32,21600,0,0,0,4065.73046875,80
4,100000,31536000,0,10,10,8,80,32,43200,0,0,0,3120.140625,80
4,100000,31536000,0,10,100,100,3,1,4294967295,0,0,0,118.8500000000239,3
4,100000,31536000,0,10,10,8,80,32,43200,0,0,0,3116.62890625,80
4,100000,31536000,0,100,100,100,3,1,4294967295,0,0,0,1196.9099999990565,3
4,100000,31536000,0,100,100,100,3,1,4294967295,0,0,0,1197.549999999056,3
4,100000,31536000,0,10,100,100,3,1,4294967295,0,0,0,119.98000000002448,3
4,100000,31536000,0,10,10,8,80,32,43200,0,0,0,3132.3984375,80
4,100000,31536000,0,100,10,8,80,32,0,0,0,0,52918.375,80
4,100000,31536000,0,10,100,100,3,1,4294967295,0,0,0,119.53000000002424,3
4,100000,31536000,0,10,10,8,80,32,86400,0,0,0,1841.1796875,80
4,100000,31536000,0,10,100,100,3,1,4294967295,0,0,0,121.10000000002505,3
4,100000,31536000,0,1,100,100,3,1,4294967295,0,0,0,11.699999999999795,3
4,100000,31536000,0,10,10,8,80,32,43200,0,0,0,3128.375,80
4,100000,31536000,0,10,10,8,80,32,86400,0,0,0,1845.8671875,80
4,100000,31536000,0,1,10,8,80,32,0,0,0,0,528,80
4,100000,31536000,0,1,10,8,80,32,21600,0,0,0,407.1796875,80
4,100000,31536000,0,100,10,8,80,32,43200,0,0,0,31191.95703125,80
4,100000,31536000,0,100,10,8,80,32,0,0,0,0,52912.875,80
4,100000,31536000,0,100,10,8,80,32,21600,0,0,0,40612.18359375,80
4,100000,31536000,0,100,100,100,3,1,4294967295,0,0,0,1192.2599999990607,3
4,100000,31536000,0,100,10,8,80,32,43200,0,0,0,31141.09375,80
4,100000,31536000,0,10,100,100,3,1,4294967295,0,0,0,120.76000000002487,3
4,100000,31536000,0,10,10,8,80,32,43200,0,0,0,3125.2421875,80
4,100000,31536000,0,10,10,8,80,32,172800,0,0,0,648.38671875,80
4,100000,31536000,0,100,100,100,3,1,4294967295,0,0,0,1196.8799999990565,3
4,100000,31536000,0,100,100,100,3,1,4294967295,0,0,0,1197.7899999990557,3
4,100000,31536000,0,10,100,100,3,1,4294967295,0,0,0,120.09000000002453,3
4,100000,31536000,0,100,10,8,80,32,172800,0,0,0,6462.4453125,80
4,100000,31536000,0,100,10,8,80,32,43200,0,0,0,31204.6328125,80
4,100000,31536000,0,10,10,8,80,32,86400,0,0,0,1844.48046875,80
4,100000,31536000,0,1,10,8,80,32,21600,0,0,0,406.60546875,80
4,100000,31536000,0,1,10,8,80,32,21600,0,0,0,404.4609375,80
4,100000,31536000,0,10,10,8,80,32,43200,0,0,0,3099.56640625,80
4,100000,31536000,0,10,10,8,80,32,21600,0,0,0,4046.83984375,80
4,100000,31536000,0,1,10,8,80,32,43200,0,0,0,311.05078125,80
4,100000,31536000,0,1,100,100,3,1,4294967295,0,0,0,12.229999999999784,3
